n_pruned,n_kept,keep_frac,rec_prior,rec_zero,prior_zero_gap
5.727000000000000000e+03,4.170000000000000000e+02,6.787109375000000000e-02,5.056950632731119916e-02,4.890119501749674163e-02,1.668311309814457521e-03
5.735000000000000000e+03,4.090000000000000000e+02,6.656901041666667129e-02,5.059476242065429757e-02,4.890454355875650805e-02,1.690218861897789526e-03
5.743000000000000000e+03,4.010000000000000000e+02,6.526692708333332871e-02,5.058124313354492307e-02,4.890812937418619749e-02,1.673113759358725583e-03
5.751000000000000000e+03,3.930000000000000000e+02,6.396484375000000000e-02,5.059205830891926742e-02,4.891179809570312537e-02,1.680260213216142051e-03
5.759000000000000000e+03,3.850000000000000000e+02,6.266276041666667129e-02,5.060189107259114444e-02,4.891696294148763224e-02,1.684928131103512194e-03
5.767000000000000000e+03,3.770000000000000000e+02,6.136067708333333565e-02,5.062589416503906342e-02,4.892001063028971614e-02,1.705883534749347286e-03
5.775000000000000000e+03,3.690000000000000000e+02,6.005859375000000000e-02,5.063615722656249901e-02,4.892520802815755049e-02,1.710949198404948524e-03
5.783000000000000000e+03,3.610000000000000000e+02,5.875651041666666435e-02,5.063027114868164091e-02,4.892872314453124843e-02,1.701548004150392479e-03
5.791000000000000000e+03,3.530000000000000000e+02,5.745442708333333565e-02,5.065632832845052419e-02,4.893387018839518571e-02,1.722458140055338482e-03
5.799000000000000000e+03,3.450000000000000000e+02,5.615234375000000000e-02,5.067812245686848655e-02,4.893935521443684711e-02,1.738767242431639437e-03
5.807000000000000000e+03,3.370000000000000000e+02,5.485026041666666435e-02,5.069129892985026198e-02,4.894523722330729187e-02,1.746061706542970104e-03
5.815000000000000000e+03,3.290000000000000000e+02,5.354817708333333565e-02,5.067935231526692758e-02,4.895212961832682425e-02,1.727222696940103330e-03
5.823000000000000000e+03,3.210000000000000000e+02,5.224609375000000000e-02,5.072994995117187378e-02,4.895821660359700456e-02,1.771733347574869222e-03
5.831000000000000000e+03,3.130000000000000000e+02,5.094401041666666435e-02,5.074247283935547082e-02,4.896368459065755102e-02,1.778788248697919794e-03
5.839000000000000000e+03,3.050000000000000000e+02,4.964192708333333565e-02,5.075063374837239516e-02,4.897116139729817963e-02,1.779472351074215530e-03
5.847000000000000000e+03,2.970000000000000000e+02,4.833984375000000000e-02,5.075450795491536632e-02,4.897832285563150784e-02,1.776185099283858482e-03
5.855000000000000000e+03,2.890000000000000000e+02,4.703776041666666435e-02,5.079762166341145885e-02,4.898672103881836215e-02,1.810900624593096697e-03
5.863000000000000000e+03,2.810000000000000000e+02,4.573567708333333565e-02,5.080092264811197911e-02,4.899593607584635385e-02,1.804986572265625255e-03
5.871000000000000000e+03,2.730000000000000000e+02,4.443359375000000000e-02,5.079322509765624855e-02,4.900350850423176863e-02,1.789716593424479918e-03
5.879000000000000000e+03,2.650000000000000000e+02,4.313151041666666435e-02,5.084173177083333578e-02,4.901399943033854512e-02,1.827732340494790664e-03
5.887000000000000000e+03,2.570000000000000000e+02,4.182942708333333565e-02,5.085786463419596226e-02,4.902487106323242388e-02,1.832993570963538377e-03
5.895000000000000000e+03,2.490000000000000000e+02,4.052734375000000000e-02,5.088648681640624977e-02,4.903643493652343893e-02,1.850051879882810835e-03
5.903000000000000000e+03,2.410000000000000000e+02,3.922526041666666435e-02,5.091175994873047006e-02,4.904886220296224286e-02,1.862897745768227198e-03
5.911000000000000000e+03,2.330000000000000000e+02,3.792317708333333565e-02,5.094010314941406492e-02,4.906216201782226394e-02,1.877941131591800983e-03
5.919000000000000000e+03,2.250000000000000000e+02,3.662109375000000000e-02,5.096764348347981866e-02,4.907716547648111743e-02,1.890478006998701221e-03
5.927000000000000000e+03,2.170000000000000000e+02,3.531901041666666435e-02,5.098248926798502889e-02,4.909080251057942879e-02,1.891686757405600106e-03
5.935000000000000000e+03,2.090000000000000000e+02,3.401692708333333565e-02,5.100829950968424620e-02,4.910723826090494792e-02,1.901061248779298274e-03
5.943000000000000000e+03,2.010000000000000000e+02,3.271484375000000000e-02,5.104899444580077855e-02,4.912587254842122608e-02,1.923121897379552470e-03
5.951000000000000000e+03,1.930000000000000000e+02,3.141276041666666435e-02,5.109376093546549175e-02,4.914437917073567752e-02,1.949381764729814226e-03
