n_pruned,n_kept,keep_frac,rec_prior,rec_zero,prior_zero_gap
5.879000000000000000e+03,2.650000000000000000e+02,4.313151041666666435e-02,7.740747639973958316e-01,1.459802520751952992e-01,6.280945119222005602e-01
5.887000000000000000e+03,2.570000000000000000e+02,4.182942708333333565e-02,7.802159098307291929e-01,1.458727905273437542e-01,6.343431193033854942e-01
5.895000000000000000e+03,2.490000000000000000e+02,4.052734375000000000e-02,7.867230957031250416e-01,1.471791849772135508e-01,6.395439107259115463e-01
5.903000000000000000e+03,2.410000000000000000e+02,3.922526041666666435e-02,7.924640869140624488e-01,1.498354665120442686e-01,6.426286204020181803e-01
5.911000000000000000e+03,2.330000000000000000e+02,3.792317708333333565e-02,7.926075113932291583e-01,1.515583892822265633e-01,6.410491221110026228e-01
5.919000000000000000e+03,2.250000000000000000e+02,3.662109375000000000e-02,8.013984171549478619e-01,1.521425282796224077e-01,6.492558888753254820e-01
5.927000000000000000e+03,2.170000000000000000e+02,3.531901041666666435e-02,8.016429931640625117e-01,1.527469706217448042e-01,6.488960225423177075e-01
5.935000000000000000e+03,2.090000000000000000e+02,3.401692708333333565e-02,8.058380371093749606e-01,1.546315572102864577e-01,6.512064798990885306e-01
5.943000000000000000e+03,2.010000000000000000e+02,3.271484375000000000e-02,8.078580851236979443e-01,1.587007670084635280e-01,6.491573181152343608e-01
5.951000000000000000e+03,1.930000000000000000e+02,3.141276041666666435e-02,8.147178670247395837e-01,1.593078725179036537e-01,6.554099945068359023e-01
5.959000000000000000e+03,1.850000000000000000e+02,3.011067708333333218e-02,8.187158528645833711e-01,1.611268117268880307e-01,6.575890411376953404e-01
5.967000000000000000e+03,1.770000000000000000e+02,2.880859375000000000e-02,8.193206827799479619e-01,1.651237589518229076e-01,6.541969238281251098e-01
5.975000000000000000e+03,1.690000000000000000e+02,2.750651041666666782e-02,8.238819661458333110e-01,1.658869750976562363e-01,6.579949910481770470e-01
5.983000000000000000e+03,1.610000000000000000e+02,2.620442708333333218e-02,8.293217529296874613e-01,1.682623474121093810e-01,6.610594055175780248e-01
5.991000000000000000e+03,1.530000000000000000e+02,2.490234375000000000e-02,8.347643229166666901e-01,1.722788838704427117e-01,6.624854390462240339e-01
5.999000000000000000e+03,1.450000000000000000e+02,2.360026041666666782e-02,8.313551961263020429e-01,1.742656188964843700e-01,6.570895772298176452e-01
6.007000000000000000e+03,1.370000000000000000e+02,2.229817708333333218e-02,8.415099690755207806e-01,1.795373982747395791e-01,6.619725708007812015e-01
6.015000000000000000e+03,1.290000000000000000e+02,2.099609375000000000e-02,8.463302490234374531e-01,1.836160725911458458e-01,6.627141764322915796e-01
6.023000000000000000e+03,1.210000000000000000e+02,1.969401041666666782e-02,8.514960367838542155e-01,1.918900004069010456e-01,6.596060363769531421e-01
6.031000000000000000e+03,1.130000000000000000e+02,1.839192708333333218e-02,8.523113037109375512e-01,1.998546407063802044e-01,6.524566630045574023e-01
6.039000000000000000e+03,1.050000000000000000e+02,1.708984375000000000e-02,8.571061604817707957e-01,2.085807942708333418e-01,6.485253662109374817e-01
6.047000000000000000e+03,9.700000000000000000e+01,1.578776041666666782e-02,8.609336018880208163e-01,2.192072224934895897e-01,6.417263793945312544e-01
6.055000000000000000e+03,8.900000000000000000e+01,1.448567708333333391e-02,8.631063964843750380e-01,2.275147155761718665e-01,6.355916809082031715e-01
6.063000000000000000e+03,8.100000000000000000e+01,1.318359375000000000e-02,8.689920003255208192e-01,2.372362589518229037e-01,6.317557413736979433e-01
6.071000000000000000e+03,7.300000000000000000e+01,1.188151041666666609e-02,8.761959554036458098e-01,2.568227722167968907e-01,6.193731831868489746e-01
6.079000000000000000e+03,6.500000000000000000e+01,1.057942708333333391e-02,8.766966389973958051e-01,2.771202351888020776e-01,5.995764038085937830e-01
6.087000000000000000e+03,5.700000000000000000e+01,9.277343750000000000e-03,8.788603515624999751e-01,3.007960856119791804e-01,5.780642659505208503e-01
6.095000000000000000e+03,4.900000000000000000e+01,7.975260416666666088e-03,8.828360921223958879e-01,3.205345052083333202e-01,5.623015869140626233e-01
6.103000000000000000e+03,4.100000000000000000e+01,6.673177083333333044e-03,8.874611572265624915e-01,3.635214680989583558e-01,5.239396891276041357e-01
6.111000000000000000e+03,3.300000000000000000e+01,5.371093750000000000e-03,8.929493815104166954e-01,3.918841389973958256e-01,5.010652425130208698e-01
6.119000000000000000e+03,2.500000000000000000e+01,4.069010416666666956e-03,8.942372965494791437e-01,4.319599629720052292e-01,4.622773335774739145e-01
6.127000000000000000e+03,1.700000000000000000e+01,2.766927083333333478e-03,9.000974690755207952e-01,5.174861816406249870e-01,3.826112874348958082e-01
6.135000000000000000e+03,9.000000000000000000e+00,1.464843750000000000e-03,9.064169677734374986e-01,6.623171549479166531e-01,2.440998128255208455e-01
6.143000000000000000e+03,1.000000000000000000e+00,1.627604166666666576e-04,9.090227050781249929e-01,8.020306925455729097e-01,1.069920125325520832e-01
