n_pruned,n_kept,keep_frac,rec_prior,rec_zero,prior_zero_gap
5.791000000000000000e+03,3.530000000000000000e+02,5.745442708333333565e-02,5.869954223632812412e-02,5.684309234619140672e-02,1.856449890136717407e-03
5.799000000000000000e+03,3.450000000000000000e+02,5.615234375000000000e-02,5.871051076253255147e-02,5.684473927815755084e-02,1.865771484375000622e-03
5.807000000000000000e+03,3.370000000000000000e+02,5.485026041666666435e-02,5.874691721598307437e-02,5.684751485188802023e-02,1.899402364095054141e-03
5.815000000000000000e+03,3.290000000000000000e+02,5.354817708333333565e-02,5.874297434488932185e-02,5.685205942789713779e-02,1.890914916992184058e-03
5.823000000000000000e+03,3.210000000000000000e+02,5.224609375000000000e-02,5.874645792643229392e-02,5.685548604329426770e-02,1.890971883138026222e-03
5.831000000000000000e+03,3.130000000000000000e+02,5.094401041666666435e-02,5.876473846435546766e-02,5.685905507405598913e-02,1.905683390299478530e-03
5.839000000000000000e+03,3.050000000000000000e+02,4.964192708333333565e-02,5.876941477457682528e-02,5.686361134847005283e-02,1.905803426106772447e-03
5.847000000000000000e+03,2.970000000000000000e+02,4.833984375000000000e-02,5.879208831787109679e-02,5.686936442057291541e-02,1.922723897298181384e-03
5.855000000000000000e+03,2.890000000000000000e+02,4.703776041666666435e-02,5.879391276041666392e-02,5.687379048665364839e-02,1.920122273763015530e-03
5.863000000000000000e+03,2.810000000000000000e+02,4.573567708333333565e-02,5.882708485921223779e-02,5.688047993977864841e-02,1.946604919433589376e-03
5.871000000000000000e+03,2.730000000000000000e+02,4.443359375000000000e-02,5.881750081380208300e-02,5.688715006510416949e-02,1.930350748697913510e-03
5.879000000000000000e+03,2.650000000000000000e+02,4.313151041666666435e-02,5.883067423502603976e-02,5.689420166015624752e-02,1.936472574869792240e-03
5.887000000000000000e+03,2.570000000000000000e+02,4.182942708333333565e-02,5.888217366536458580e-02,5.690184529622396153e-02,1.980328369140624267e-03
5.895000000000000000e+03,2.490000000000000000e+02,4.052734375000000000e-02,5.889519958496093610e-02,5.691150563557943048e-02,1.983693949381505617e-03
5.903000000000000000e+03,2.410000000000000000e+02,3.922526041666666435e-02,5.891498769124348805e-02,5.692184448242187250e-02,1.993143208821615553e-03
5.911000000000000000e+03,2.330000000000000000e+02,3.792317708333333565e-02,5.892662506103515940e-02,5.693200073242187659e-02,1.994624328613282815e-03
5.919000000000000000e+03,2.250000000000000000e+02,3.662109375000000000e-02,5.895743916829426778e-02,5.694418334960937161e-02,2.013255818684896170e-03
5.927000000000000000e+03,2.170000000000000000e+02,3.531901041666666435e-02,5.897778828938802370e-02,5.695948638916015910e-02,2.018301900227864598e-03
5.935000000000000000e+03,2.090000000000000000e+02,3.401692708333333565e-02,5.897178395589192795e-02,5.697434336344400774e-02,1.997440592447920216e-03
5.943000000000000000e+03,2.010000000000000000e+02,3.271484375000000000e-02,5.901578063964843524e-02,5.699283955891926851e-02,2.022941080729166730e-03
5.951000000000000000e+03,1.930000000000000000e+02,3.141276041666666435e-02,5.908908793131510684e-02,5.701335296630859195e-02,2.075734965006514887e-03
5.959000000000000000e+03,1.850000000000000000e+02,3.011067708333333218e-02,5.909240773518880524e-02,5.703392995198567489e-02,2.058477783203130351e-03
5.967000000000000000e+03,1.770000000000000000e+02,2.880859375000000000e-02,5.914463602701822836e-02,5.706157277425129987e-02,2.083063252766928497e-03
5.975000000000000000e+03,1.690000000000000000e+02,2.750651041666666782e-02,5.919769846598307156e-02,5.709400278727213424e-02,2.103695678710937322e-03
5.983000000000000000e+03,1.610000000000000000e+02,2.620442708333333218e-02,5.925930582682291392e-02,5.713166300455729124e-02,2.127642822265622680e-03
5.991000000000000000e+03,1.530000000000000000e+02,2.490234375000000000e-02,5.933861083984375007e-02,5.717358856201171929e-02,2.165022277832030773e-03
5.999000000000000000e+03,1.450000000000000000e+02,2.360026041666666782e-02,5.940203603108724223e-02,5.722344614664713613e-02,2.178589884440106095e-03
6.007000000000000000e+03,1.370000000000000000e+02,2.229817708333333218e-02,5.948408050537109387e-02,5.728130747477213486e-02,2.202773030598959014e-03
6.015000000000000000e+03,1.290000000000000000e+02,2.099609375000000000e-02,5.958120168050130144e-02,5.734646504720052052e-02,2.234736633300780928e-03
6.023000000000000000e+03,1.210000000000000000e+02,1.969401041666666782e-02,5.971885630289713864e-02,5.744165852864583505e-02,2.277197774251303597e-03
6.031000000000000000e+03,1.130000000000000000e+02,1.839192708333333218e-02,5.987219390869140401e-02,5.757766469319661184e-02,2.294529215494792163e-03
6.039000000000000000e+03,1.050000000000000000e+02,1.708984375000000000e-02,6.034634653727213860e-02,5.785432484944661585e-02,2.492021687825522747e-03
6.047000000000000000e+03,9.700000000000000000e+01,1.578776041666666782e-02,6.194541880289713282e-02,5.886159973144531460e-02,3.083819071451818217e-03
6.055000000000000000e+03,8.900000000000000000e+01,1.448567708333333391e-02,6.648684539794921800e-02,6.146237131754557492e-02,5.024474080403643073e-03
6.063000000000000000e+03,8.100000000000000000e+01,1.318359375000000000e-02,7.444481252034505780e-02,6.632639973958333324e-02,8.118412780761724568e-03
6.071000000000000000e+03,7.300000000000000000e+01,1.188151041666666609e-02,8.597043558756510551e-02,7.305260264078776433e-02,1.291783294677734117e-02
6.079000000000000000e+03,6.500000000000000000e+01,1.057942708333333391e-02,1.067172988891601504e-01,8.495538228352864096e-02,2.176191660563150942e-02
6.087000000000000000e+03,5.700000000000000000e+01,9.277343750000000000e-03,1.380495656331380272e-01,1.032992925008138080e-01,3.475027313232421922e-02
6.095000000000000000e+03,4.900000000000000000e+01,7.975260416666666088e-03,1.793532847086588555e-01,1.282270212809244747e-01,5.112626342773438082e-02
6.103000000000000000e+03,4.100000000000000000e+01,6.673177083333333044e-03,2.377047302246093619e-01,1.648894378662109361e-01,7.281529235839842573e-02
6.111000000000000000e+03,3.300000000000000000e+01,5.371093750000000000e-03,3.121433736165364348e-01,2.135449707031250033e-01,9.859840291341143148e-02
6.119000000000000000e+03,2.500000000000000000e+01,4.069010416666666956e-03,4.180842997233072955e-01,2.852102518717448132e-01,1.328740478515624823e-01
6.127000000000000000e+03,1.700000000000000000e+01,2.766927083333333478e-03,5.542407836914062802e-01,3.826728068033853902e-01,1.715679768880208900e-01
6.135000000000000000e+03,9.000000000000000000e+00,1.464843750000000000e-03,7.522945963541666226e-01,5.546197957356771013e-01,1.976748006184895212e-01
6.143000000000000000e+03,1.000000000000000000e+00,1.627604166666666576e-04,9.676287597656250128e-01,9.254961669921875078e-01,4.213259277343750497e-02
