n_pruned,n_kept,keep_frac,rec_prior,rec_zero,prior_zero_gap
5.879000000000000000e+03,2.650000000000000000e+02,4.313151041666666435e-02,7.750896647135416817e-01,1.446671000162760290e-01,6.304225646972656527e-01
5.887000000000000000e+03,2.570000000000000000e+02,4.182942708333333565e-02,7.813838012695312196e-01,1.461817535400390666e-01,6.352020477294921807e-01
5.895000000000000000e+03,2.490000000000000000e+02,4.052734375000000000e-02,7.879567626953124515e-01,1.469252827962239660e-01,6.410314798990884855e-01
5.903000000000000000e+03,2.410000000000000000e+02,3.922526041666666435e-02,7.933962483723958625e-01,1.490435109456380303e-01,6.443527374267578045e-01
5.911000000000000000e+03,2.330000000000000000e+02,3.792317708333333565e-02,7.937588948567708691e-01,1.494828999837239658e-01,6.442759948730468755e-01
5.919000000000000000e+03,2.250000000000000000e+02,3.662109375000000000e-02,8.017466796875000190e-01,1.490737345377604051e-01,6.526729451497396139e-01
5.927000000000000000e+03,2.170000000000000000e+02,3.531901041666666435e-02,8.022657185872396068e-01,1.496802113850911331e-01,6.525855072021484737e-01
5.935000000000000000e+03,2.090000000000000000e+02,3.401692708333333565e-02,8.061264648437499458e-01,1.517301116943359507e-01,6.543963531494140229e-01
5.943000000000000000e+03,2.010000000000000000e+02,3.271484375000000000e-02,8.082731038411458124e-01,1.549973571777343850e-01,6.532757466634113719e-01
5.951000000000000000e+03,1.930000000000000000e+02,3.141276041666666435e-02,8.150439941406250055e-01,1.550844156901041715e-01,6.599595784505207785e-01
5.959000000000000000e+03,1.850000000000000000e+02,3.011067708333333218e-02,8.190156738281250126e-01,1.588926930745442612e-01,6.601229807535807792e-01
5.967000000000000000e+03,1.770000000000000000e+02,2.880859375000000000e-02,8.196525187174479310e-01,1.600312337239583327e-01,6.596212849934895983e-01
5.975000000000000000e+03,1.690000000000000000e+02,2.750651041666666782e-02,8.243501383463541776e-01,1.639310587565104282e-01,6.604190795898436939e-01
5.983000000000000000e+03,1.610000000000000000e+02,2.620442708333333218e-02,8.300603637695312953e-01,1.655439687093099022e-01,6.645163950602214209e-01
5.991000000000000000e+03,1.530000000000000000e+02,2.490234375000000000e-02,8.352283569335937630e-01,1.709699534098307327e-01,6.642584035237630857e-01
5.999000000000000000e+03,1.450000000000000000e+02,2.360026041666666782e-02,8.324821818033854015e-01,1.758867828369140573e-01,6.565953989664713442e-01
6.007000000000000000e+03,1.370000000000000000e+02,2.229817708333333218e-02,8.426614827473958291e-01,1.846710327148437525e-01,6.579904500325520766e-01
6.015000000000000000e+03,1.290000000000000000e+02,2.099609375000000000e-02,8.473595296223958018e-01,1.858984069824218821e-01,6.614611226399739197e-01
6.023000000000000000e+03,1.210000000000000000e+02,1.969401041666666782e-02,8.518401000976562054e-01,1.918750630696614556e-01,6.599650370279948053e-01
6.031000000000000000e+03,1.130000000000000000e+02,1.839192708333333218e-02,8.526607991536457876e-01,1.981641337076822940e-01,6.544966654459635214e-01
6.039000000000000000e+03,1.050000000000000000e+02,1.708984375000000000e-02,8.575481770833333073e-01,2.093649525960286362e-01,6.481832244873046989e-01
6.047000000000000000e+03,9.700000000000000000e+01,1.578776041666666782e-02,8.608604288736979582e-01,2.188966196695963651e-01,6.419638092041015653e-01
6.055000000000000000e+03,8.900000000000000000e+01,1.448567708333333391e-02,8.637767740885416989e-01,2.297584493001302020e-01,6.340183247884114692e-01
6.063000000000000000e+03,8.100000000000000000e+01,1.318359375000000000e-02,8.693403808593750393e-01,2.393022583007812509e-01,6.300381225585938161e-01
6.071000000000000000e+03,7.300000000000000000e+01,1.188151041666666609e-02,8.764082600911458076e-01,2.467919738769531190e-01,6.296162862141927441e-01
6.079000000000000000e+03,6.500000000000000000e+01,1.057942708333333391e-02,8.773176106770833593e-01,2.697851094563802343e-01,6.075325012207031250e-01
6.087000000000000000e+03,5.700000000000000000e+01,9.277343750000000000e-03,8.796052164713541455e-01,3.007739868164062691e-01,5.788312296549478209e-01
6.095000000000000000e+03,4.900000000000000000e+01,7.975260416666666088e-03,8.831173177083333492e-01,3.225454345703124837e-01,5.605718831380208655e-01
6.103000000000000000e+03,4.100000000000000000e+01,6.673177083333333044e-03,8.874520182291666393e-01,3.520544392903645625e-01,5.353975789388021322e-01
6.111000000000000000e+03,3.300000000000000000e+01,5.371093750000000000e-03,8.930601725260416401e-01,3.923545857747395837e-01,5.007055867513020564e-01
6.119000000000000000e+03,2.500000000000000000e+01,4.069010416666666956e-03,8.946263183593750057e-01,4.300807413736978946e-01,4.645455769856771111e-01
6.127000000000000000e+03,1.700000000000000000e+01,2.766927083333333478e-03,9.003772542317708405e-01,5.266594848632812909e-01,3.737177693684895496e-01
6.135000000000000000e+03,9.000000000000000000e+00,1.464843750000000000e-03,9.064363199869791554e-01,6.495511474609374503e-01,2.568851725260417052e-01
6.143000000000000000e+03,1.000000000000000000e+00,1.627604166666666576e-04,9.092227050781249709e-01,8.293129313151041959e-01,7.990977376302077495e-02
