n_pruned,n_kept,keep_frac,rec_prior,rec_zero,prior_zero_gap
2.560000000000000000e+03,3.584000000000000000e+03,5.833333333333333703e-01,1.201100779215494851e-01,1.240644704182942704e-01,-3.954392496744785213e-03
2.816000000000000000e+03,3.328000000000000000e+03,5.416666666666666297e-01,1.214342488606770798e-01,1.256320485432942669e-01,-4.197799682617187056e-03
2.969000000000000000e+03,3.175000000000000000e+03,5.167643229166666297e-01,1.224083038330078116e-01,1.267060150146484265e-01,-4.297711181640614941e-03
3.072000000000000000e+03,3.072000000000000000e+03,5.000000000000000000e-01,1.230012827555338473e-01,1.274786641438802048e-01,-4.477381388346357571e-03
3.327000000000000000e+03,2.817000000000000000e+03,4.584960937500000000e-01,1.248425994873046813e-01,1.296188730875651174e-01,-4.776273600260436125e-03
3.583000000000000000e+03,2.561000000000000000e+03,4.168294270833333148e-01,1.270695058186848969e-01,1.321146799723307286e-01,-5.045174153645831661e-03
3.839000000000000000e+03,2.305000000000000000e+03,3.751627604166666852e-01,1.297652374267578013e-01,1.350332702636718729e-01,-5.268032836914071648e-03
4.095000000000000000e+03,2.049000000000000000e+03,3.334960937500000000e-01,1.328828206380208432e-01,1.384487538655599093e-01,-5.565933227539066053e-03
4.271000000000000000e+03,1.873000000000000000e+03,3.048502604166666852e-01,1.353921824137369889e-01,1.410873504638671949e-01,-5.695168050130205994e-03
4.351000000000000000e+03,1.793000000000000000e+03,2.918294270833333148e-01,1.365890370686848876e-01,1.423872446695963467e-01,-5.798207600911459147e-03
4.607000000000000000e+03,1.537000000000000000e+03,2.501627604166666852e-01,1.411389109293619826e-01,1.470701863606770909e-01,-5.931275431315108371e-03
4.863000000000000000e+03,1.281000000000000000e+03,2.084960937500000000e-01,1.463495910644531384e-01,1.525028442382812544e-01,-6.153253173828115985e-03
5.119000000000000000e+03,1.025000000000000000e+03,1.668294270833333426e-01,1.523826090494791730e-01,1.589878641764322920e-01,-6.605255126953119005e-03
5.375000000000000000e+03,7.690000000000000000e+02,1.251627604166666574e-01,1.600455739339192718e-01,1.666119089762369831e-01,-6.566335042317711368e-03
5.631000000000000000e+03,5.130000000000000000e+02,8.349609375000000000e-02,1.697207244873046861e-01,1.759252034505208451e-01,-6.204478963216158993e-03
5.639000000000000000e+03,5.050000000000000000e+02,8.219401041666667129e-02,1.696624135335286498e-01,1.762563761393229067e-01,-6.593962605794256859e-03
5.647000000000000000e+03,4.970000000000000000e+02,8.089192708333332871e-02,1.701209838867187574e-01,1.765950653076171772e-01,-6.474081420898419870e-03
