n_pruned,n_kept,keep_frac,rec_prior,rec_zero,prior_zero_gap
1.310000000000000000e+02,6.013000000000000000e+03,9.786783854166666297e-01,1.077824579874674532e-01,1.077222106933593687e-01,6.024729410808449259e-05
1.520000000000000000e+02,5.992000000000000000e+03,9.752604166666666297e-01,1.077889516194661390e-01,1.077224934895833347e-01,6.645812988280430655e-05
1.770000000000000000e+02,5.967000000000000000e+03,9.711914062500000000e-01,1.078037160237630271e-01,1.077227305094401039e-01,8.098551432292322438e-05
2.050000000000000000e+02,5.939000000000000000e+03,9.666341145833333703e-01,1.078089497884114623e-01,1.077255350748697882e-01,8.341471354167406815e-05
2.080000000000000000e+02,5.936000000000000000e+03,9.661458333333333703e-01,1.078175516764322966e-01,1.077253723144531300e-01,9.217936197916665186e-05
2.380000000000000000e+02,5.906000000000000000e+03,9.612630208333333703e-01,1.078355066935221401e-01,1.077262105305989565e-01,1.092961629231836707e-04
2.750000000000000000e+02,5.869000000000000000e+03,9.552408854166666297e-01,1.078497945149739651e-01,1.077272257486979190e-01,1.225687662760460706e-04
3.120000000000000000e+02,5.832000000000000000e+03,9.492187500000000000e-01,1.078721735636393175e-01,1.077310211181640581e-01,1.411524454752594027e-04
3.190000000000000000e+02,5.825000000000000000e+03,9.480794270833333703e-01,1.078664316813151003e-01,1.077287821451822919e-01,1.376495361328083922e-04
3.700000000000000000e+02,5.774000000000000000e+03,9.397786458333333703e-01,1.078991414388020820e-01,1.077303639729817741e-01,1.687774658203078371e-04
4.160000000000000000e+02,5.728000000000000000e+03,9.322916666666666297e-01,1.079344848632812492e-01,1.077330240885416707e-01,2.014607747395785742e-04
4.290000000000000000e+02,5.715000000000000000e+03,9.301757812500000000e-01,1.079282409667968734e-01,1.077330886840820318e-01,1.951522827148416406e-04
4.980000000000000000e+02,5.646000000000000000e+03,9.189453125000000000e-01,1.079544138590494834e-01,1.077381683349609431e-01,2.162455240885402530e-04
5.210000000000000000e+02,5.623000000000000000e+03,9.152018229166666297e-01,1.079693562825520814e-01,1.077373881022135466e-01,2.319681803385348351e-04
5.770000000000000000e+02,5.567000000000000000e+03,9.060872395833333703e-01,1.080157796223958355e-01,1.077418599446614556e-01,2.739196777343799738e-04
6.250000000000000000e+02,5.519000000000000000e+03,8.982747395833333703e-01,1.080341435750325485e-01,1.077450826009114515e-01,2.890609741210969919e-04
6.690000000000000000e+02,5.475000000000000000e+03,8.911132812500000000e-01,1.080399897257487002e-01,1.077495264689127541e-01,2.904632568359460931e-04
7.290000000000000000e+02,5.415000000000000000e+03,8.813476562500000000e-01,1.080881449381510401e-01,1.077518976847330751e-01,3.362472534179650197e-04
7.750000000000000000e+02,5.369000000000000000e+03,8.738606770833333703e-01,1.081096165974934908e-01,1.077544153849283870e-01,3.552012125651038410e-04
8.330000000000000000e+02,5.311000000000000000e+03,8.644205729166666297e-01,1.081429214477539064e-01,1.077605102539062470e-01,3.824111938476593142e-04
8.990000000000000000e+02,5.245000000000000000e+03,8.536783854166666297e-01,1.081779134114583402e-01,1.077656855265299446e-01,4.122278849283955715e-04
9.370000000000000000e+02,5.207000000000000000e+03,8.474934895833333703e-01,1.081998586018880215e-01,1.077669596354166731e-01,4.328989664713484009e-04
